Team Name,Team Code,Wins,Draws,Loses,Points,Qualified,Group,Country Code,Goals,Goals conceded,Possession (%),Passing accuracy ,Balls recovered,Tackles won,Clean sheets,Saves,Distance covered (km),Yellow cards,Red cards,Right foot,Left foot,Head,Other,Assists,Attacks,Clear chances,Penalties scored,Corners taken,Offsides,Runs into attacking third,Runs into key play area,Passes completed,Short passes completed,Medium passes completed,Long passes completed,Crossing accuracy (%),Crosses completed,Crosses attempted,Free-kicks taken,Times in possession,Passes into attacking third,Passes into key play area,Passes into penalty area,Blocks,Clearances completed,Attempts conceded off target,Attempts conceded,Saves from penalties,High claims,Low claims,Punches made,Fouls committed,Fouls committed in defensive third,Fouls committed in own half,Fouls suffered,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21
Manchester City FC,MC,4,0,2,12,TRUE,A,ENG,18,10,57.67,90.17,230,18,0,9,681.97,9,1,9,5,3,0,14,403,4,2,43,24,101,105,3244/3593,666/780,2248/2397,330/416,24,30,126,73,952,360,259,110,9,35/49,16,43,0,10,5,1,57,7,23,59,Group stage,Group stage,Round of 16,Round of 16,Semi-finals,Round of 16,Quarter-finals,Quarter-finals,Quarter-finals,Final
Liverpool FC,LIV,6,0,0,18,TRUE,B,ENG,17,6,59.5,86.67,223,22,2,10,673.81,8,0,4,10,2,0,10,345,3,1,45,12,129,102,3064/3521,592/725,2148/2335,325/463,25.84,32,126,74,1135,324,187,79,9,54/67,18,42,0,5,12,3,72,8,24,57,,,,Group stage,,,Final,Final,Round of 16,Quarter-finals
AFC Ajax,AJX,6,0,0,18,TRUE,C,NED,20,5,58.67,88,264,27,2,12,703.98,9,0,4,11,3,1,16,401,3,1,26,14,93,98,3128/3549,718/854,2153/2339,257/356,34.5,37,108,68,1068,324,198,128,14,45/60,27,59,0,1,4,2,85,9,28,56,Group stage,Group stage,Group stage,Group stage,Third qualifying round,Play-offs,Third qualifying round,Semi-finals,Group stage,Group stage
Club Atletico de Madrid,ATL,2,1,3,7,TRUE,B,ESP,7,8,43.84,77.84,234,30,1,18,698.7,11,3,3,4,0,0,5,233,4,1,20,12,98,84,1786/2246,416/515,1148/1343,221/387,19.67,16,81,81,1072,185,122,57,15,86/113,27,68,0,11,9,2,76,13,26,70,,,Final,Quarter-finals,Final,Semi-finals,Group stage,Round of 16,Quarter-finals,Round of 16
AC Milan,ACM,1,1,4,4,FALSE,B,ITA,6,9,48.34,81,272,34,1,22,674.31,18,1,3,1,1,0,5,213,2,0,17,20,75,64,1987/2435,450/564,1317/1497,221/375,34.5,31,90,98,1211,185,121,58,29,106/123,44,103,1,9,20,3,73,16,38,84,Quarter-finals,Round of 16,Round of 16,,,,,,,
Villarreal CF,VLR,3,1,2,10,TRUE,F,ESP,12,9,50,83.34,228,25,1,21,606.1,16,1,5,5,2,0,10,214,4,0,29,7,61,45,2158/2560,432/520,1506/1675,220/366,37,24,67,83,1040,181,103,72,19,87/135,35,83,0,9,15,2,54,10,19,60,Group stage,,,,,Play-offs,,,,
Besiktas JK,BJK,0,0,6,0,FALSE,C,TUR,3,19,44.34,80,276,45,0,24,654.69,16,2,0,1,2,0,2,193,3,1,20,19,62,36,2051/2510,585/696,1280/1484,186/330,26.84,21,78,79,1129,172,100,44,26,56/84,47,116,0,12,11,0,63,18,28,69,,,,Play-offs,,Group stage,Round of 16,,,Second qualifying round
Club Brugge,BRU,1,1,4,4,FALSE,A,BEL,6,20,40.5,78,262,29,0,28,692.1,11,0,4,1,0,0,5,231,2,0,37,21,64,37,1744/2232,480/598,1037/1261,226/373,19.84,17,95,73,1137,190,114,61,23,84/120,34,105,0,13,7,1,62,14,32,57,,Third qualifying round,,,Play-offs,Group stage,Third qualifying round,Group stage,Group stage,Group stage
RB Leipzig,LEI,2,1,3,7,FALSE,A,GER,15,14,47.5,82.17,261,41,1,14,678.05,14,1,9,2,4,0,12,255,4,2,22,14,77,76,2205/2671,487/598,1533/1729,185/343,28,29,103,92,1132,215,160,88,26,66/96,15,67,0,6,11,0,97,16,34,65,,,,,,,Group stage,,Semi-finals,Round of 16
Manchester United,MU,3,2,1,11,TRUE,F,ENG,11,8,49.67,85.67,234,36,1,20,555.33,10,1,8,2,1,0,10,247,2,0,22,10,67,67,2648/3083,576/677,1818/2019,254/388,28.17,24,86,74,1096,261,146,61,22,86/113,36,86,0,4,9,1,50,12,24,68,Group stage,Round of 16,Quarter-finals,,Group stage,,Round of 16,Quarter-finals,,Group stage
Paris Saint-Germain,PAR,3,2,1,11,TRUE,A,FRA,13,8,54.34,89.5,200,38,1,25,636.66,13,0,5,7,1,0,6,194,4,2,20,14,55,56,3001/3346,715/819,2069/2220,217/307,24.17,12,53,95,973,207,145,53,30,88/119,35,98,1,8,15,10,53,20,31,82,,Quarter-finals,Quarter-finals,Quarter-finals,Quarter-finals,Round of 16,Round of 16,Round of 16,Final,Semi-finals
Borussia Dortmund,BVB,3,0,3,9,FALSE,C,GER,10,11,51,84,282,18,2,14,689.54,9,2,5,3,2,0,8,290,3,2,34,18,103,95,2718/3187,657/805,1858/2061,205/323,23.5,22,95,61,1120,267,193,67,14,55/75,25,64,1,2,5,1,64,10,22,46,Group stage,Final,Quarter-finals,Round of 16,,Quarter-finals,Group stage,Round of 16,Round of 16,Quarter-finals
FC Barcelona,BAR,2,1,3,7,FALSE,E,ESP,2,9,55.84,87.84,235,38,3,16,673.49,13,1,2,0,0,0,1,335,3,0,36,20,109,117,3103/3533,651/781,2210/2406,244/349,22.67,30,119,85,998,325,202,81,13,29/48,22,60,0,7,9,2,83,15,28,66,Semi-finals,Semi-finals,Quarter-finals,Final,Quarter-finals,Quarter-finals,Quarter-finals,Semi-finals,Quarter-finals,Round of 16
Sporting Clube de Portugal,SCP,3,0,3,9,TRUE,C,POR,14,12,46,81,217,37,1,14,665.65,16,0,5,6,2,1,9,190,6,2,25,9,52,35,1939/2379,358/486,1375/1545,206/348,32.17,21,61,120,1128,142,85,50,17,65/103,24,67,0,7,8,5,64,10,27,92,,,,Group stage,Play-offs,Group stage,Group stage,,,
Malmo FF,MAL,0,1,5,1,FALSE,H,SWE,1,14,39.17,78.34,209,32,0,32,665.53,15,1,1,0,0,0,1,133,1,0,8,4,32,25,1771/2209,396/514,1214/1376,161/319,19.84,12,51,78,1044,138,84,30,19,114/149,43,107,1,6,16,4,74,18,30,65,Play-offs,,,Group stage,Group stage,,Second qualifying round,Third qualifying round,,
